post_title,post_content,post_status,company_name,address,phone,source_url,company_image,company_intro,company_about,reason1_title,reason1_text,reason2_title,reason2_text,reason3_title,reason3_text,business_content,service_area,job_type,salary,office_area,office_area_note,work_description,work_note,faq1_question,faq1_answer,faq2_question,faq2_answer,faq3_question,faq3_answer,cta_text,cta_button_text,cta_url,tag1,tag2,tag3,tag4
川中島バス,[bus_company_article],draft,川中島バス,,,https://ja.wikipedia.org/wiki/川中島バス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東鉄道,[bus_company_article],draft,関東鉄道,〒300-0847 茨城県土浦市卸町1-1-1 関鉄つくばビル,029-822-3710,https://www.kantetsu.co.jp/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東自動車,[bus_company_article],draft,関東自動車,〒321-0934 栃木県宇都宮市簗瀬4丁目25番5号,0570-031811,https://www.kantobus.co.jp/company/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東武鉄道,[bus_company_article],draft,東武鉄道,東京都墨田区押上一丁目1番2号,03-5962-0102,https://www.tobu.co.jp/corporation/overview/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
京成電鉄,[bus_company_article],draft,京成電鉄,〒272-8510 千葉県市川市八幡三丁目3番1号,047-712-7000,https://www.keisei.co.jp/keisei/ir/profile/corporatedata.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西武バス,[bus_company_article],draft,西武バス,〒359-1180 埼玉県所沢市久米546-1,04-2995-8111,https://www.seibubus.co.jp/company/seibubus.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都交通局,[bus_company_article],draft,東京都交通局,〒163-8001 東京都新宿区西新宿2-8-1,03-3816-5700,https://www.kotsu.metro.tokyo.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
京王帝都電鉄(現・京王電鉄),[bus_company_article],draft,京王帝都電鉄(現・京王電鉄),〒206-8502 東京都多摩市関戸一丁目9番地1,042-337-3112,https://www.keio.co.jp/company/corporate/summary/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神奈川中央交通,[bus_company_article],draft,神奈川中央交通,〒254-0811 神奈川県平塚市八重咲町6-18,,https://www.kanachu-ir.jp/corporate/outline.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
横浜市交通局,[bus_company_article],draft,横浜市交通局,〒231-0005 横浜市中区本町6丁目50番地の10 横浜市役所,045-671-3147,https://www.city.yokohama.lg.jp/kotsu/kigyo/gaiyou/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山梨交通,[bus_company_article],draft,山梨交通,〒400-0035 山梨県甲府市飯田3-2-34,055-223-0811,http://yamanashikotsu.co.jp/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北陸鉄道,[bus_company_article],draft,北陸鉄道,石川県金沢市広岡3丁目1番1号 金沢パークビル1F,076-204-9600,https://www.hokutetsu.co.jp/company/summary/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岐阜乗合自動車(岐阜バス),[bus_company_article],draft,岐阜乗合自動車(岐阜バス),〒500-8722 岐阜県岐阜市九重町4丁目20番地,058-240-8800,https://www.gifubus.co.jp/company/company.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡鉄道,[bus_company_article],draft,静岡鉄道,〒420-8510 静岡県静岡市葵区鷹匠一丁目1番1号(静鉄鷹匠ビル),054-254-5111,https://www.shizutetsu.co.jp/company/about/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
名古屋鉄道,[bus_company_article],draft,名古屋鉄道,〒450-8501 愛知県名古屋市中村区名駅四丁目8番26号 エニシオ名駅,052-582-5151,https://www.meitetsu.co.jp/profile/company/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
名古屋市交通局,[bus_company_article],draft,名古屋市交通局,愛知県名古屋市中区三の丸三丁目1番1号,052-972-3807,https://www.kotsu.city.nagoya.jp/jp/pc/INQ/TRP0001505.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三重交通,[bus_company_article],draft,三重交通,三重県津市中央1番1号,059-229-5555,https://www.sanco.co.jp/company/company10/company01/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近江鉄道,[bus_company_article],draft,近江鉄道,滋賀県彦根市駅東町15番1,0749-22-3301,https://www.ohmitetudo.co.jp/corporate/profile/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
京都市交通局,[bus_company_article],draft,京都市交通局,〒616-8104 京都市右京区太秦下刑部町12番地,075-863-5200,https://www.city.kyoto.lg.jp/kotsu/page/0000182070.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阪急バス,[bus_company_article],draft,阪急バス,〒560-8551 大阪府豊中市岡上の町1丁目1番16号(登記上本店は池田市井口堂1-9-21),06-6866-3111,https://www.hankyubus.co.jp/company/outline/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪市交通局→大阪市高速電気軌道(Osaka Metro),[bus_company_article],draft,大阪市交通局→大阪市高速電気軌道(Osaka Metro),〒550-0025 大阪府大阪市西区九条南1丁目12番62号,06-6582-1400,https://www.osakametro.co.jp/company/company_profile/kaisya_gaiyou.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南海電気鉄道,[bus_company_article],draft,南海電気鉄道,大阪府大阪市中央区難波五丁目1番60号,,https://www.nankai.co.jp/company/gaiyou.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神戸市交通局,[bus_company_article],draft,神戸市交通局,〒652-0855 兵庫県神戸市兵庫区御崎町一丁目2番1号,078-333-3330,https://kotsu.city.kobe.lg.jp/company/overview/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神姫バス,[bus_company_article],draft,神姫バス,兵庫県姫路市西駅前町1番地,079-223-1254,https://www.shinkibus.co.jp/info/overview/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奈良交通,[bus_company_article],draft,奈良交通,奈良県奈良市大宮町1丁目1番25号,0742-20-3116,https://www.narakotsu.co.jp/company/profile/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日ノ丸自動車,[bus_company_article],draft,日ノ丸自動車,〒680-0921 鳥取県鳥取市古海620番地,0857-22-5154,https://hinomarubus.co.jp/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一畑電車(旧・一畑電気鉄道),[bus_company_article],draft,一畑電車(旧・一畑電気鉄道),島根県出雲市平田町2226番地(雲州平田駅構内),0853-62-3383,https://railway.ichibata.co.jp/company/profiles/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
両備ホールディングス(両備バスカンパニー),[bus_company_article],draft,両備ホールディングス(両備バスカンパニー),〒700-8518 岡山県岡山市北区下石井二丁目10番12号,0570-08-5050,https://www.ryobi-holdings.jp/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
広島電鉄,[bus_company_article],draft,広島電鉄,〒730-8610 広島県広島市中区東千田町二丁目9番29号,082-242-3502,https://www.hiroden.co.jp/company/outline/profile.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
サンデン交通,[bus_company_article],draft,サンデン交通,〒750-8510 山口県下関市羽山町3番3号,083-231-1000,https://www.sandenkotsu.co.jp/corporate/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊予鉄道,[bus_company_article],draft,伊予鉄道,愛媛県松山市湊町4丁目4番地1,089-948-3222,https://www.iyotetsu.co.jp/company/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高知県交通,[bus_company_article],draft,高知県交通,,,https://ja.wikipedia.org/wiki/とさでん交通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西日本鉄道(西鉄),[bus_company_article],draft,西日本鉄道(西鉄),〒810-0001 福岡県福岡市中央区天神一丁目11番1号 ONE FUKUOKA BLDG.,,https://www.nishitetsu.co.jp/ja/group/company/outline.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長崎自動車(長崎バス),[bus_company_article],draft,長崎自動車(長崎バス),〒850-8501 長崎県長崎市新地町3番17号,095-833-4600,https://www.nagasaki-bus.co.jp/about/overview/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州産交バス(九州産業交通),[bus_company_article],draft,九州産交バス(九州産業交通),〒860-0068 熊本県熊本市西区上代4丁目13番34号,,https://www.kyusanko.co.jp/about-group/group-list/bs.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大分バス,[bus_company_article],draft,大分バス,〒870-0026 大分県大分市金池町2丁目12番1号,097-534-6161,https://www.oitabus.co.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宮崎交通,[bus_company_article],draft,宮崎交通,〒880-0865 宮崎県宮崎市松山一丁目1番1号(宮崎観光ホテル西館),0985-32-5783,https://www.miyakoh.co.jp/corp/inquiry/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿児島交通,[bus_company_article],draft,鹿児島交通,鹿児島県鹿児島市鴨池新町12-12(要確認),,https://www.iwasaki-corp.com/kagoshima_kotsu/company/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
琉球バス交通,[bus_company_article],draft,琉球バス交通,〒901-0223 沖縄県豊見城市字翁長811番地,098-851-4384,https://daiichibus.co.jp/company/ryukyu-bus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
